District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Mogadore Local,9915994.41,Summit,1 S Cleveland Ave,"Mogadore, OH, 44260-1514",John A. Knapp,90.2,86.49,92.82000000000001,75.2,C,0.0,11.3,17.5,34.5,23.2,12.200000000000001,1.2,116.875,97.4,0.0,0.0,1.0,10.4,21.900000000000002,49.0,17.7
Nordonia Hills City,41416650.54,Summit,9370 Olde Eight Rd,"Northfield, OH, 44067",Joseph P. Clark,97.607,95.50200000000001,99.084,81.3,B,0.4,6.7,12.5,27.0,29.5,23.7,0.2,116.06200000000001,96.7,0.0,0.2,0.3,6.2,25.1,67.1,1.2
Revere Local,34850424.89,Summit,PO Box 340,"Bath, OH, 44210-0340",Matthew L. Montgomery,104.28,103.18,105.06,86.9,B,1.3,3.1,7.1000000000000005,20.7,30.6,36.1,1.0,114.964,95.8,2.3000000000000003,0.1,0.2,3.5,17.900000000000002,71.8,4.1
Springfield Local,24987644.779999997,Lucas,6900 Hall St,"Holland, OH, 43528-9485",Matthew K. Geha,88.756,86.093,92.12100000000001,74.0,C,0.1,13.0,19.2,28.400000000000002,22.6,15.700000000000001,0.9,116.06200000000001,96.7,0.0,0.0,2.3000000000000003,7.5,20.7,59.1,10.4
Springfield Local,24987644.779999997,Mahoning,PO Box 549,"New Middletown, OH, 44442-0549",Thomas Yazvac,97.093,95.361,101.235,80.9,B,0.4,5.3,14.5,30.0,29.400000000000002,20.1,0.3,117.778,98.10000000000001,0.0,0.0,0.0,2.2,20.0,75.60000000000001,2.2
Springfield Local,24987644.779999997,Summit,2410 Massillon Rd,"Akron, OH, 44312-4258",Charles Sincere,84.269,79.45400000000001,85.491,70.2,C,0.2,17.8,19.400000000000002,29.2,20.5,12.700000000000001,0.3,114.4,95.3,0.0,0.6,1.7,6.3,32.0,55.4,4.0
Twinsburg City,44460907.3,Summit,11136 Ravenna Rd,"Twinsburg, OH, 44087-1022",Kathryn M. Powers,97.961,94.284,96.509,81.60000000000001,B,1.4000000000000001,6.8,11.0,25.400000000000002,27.5,26.400000000000002,1.6,115.91600000000001,96.60000000000001,1.5,0.0,0.0,3.8000000000000003,22.8,64.7,7.2
Bloomfield-Mespo Local,3606765.37,Trumbull,2077 Park Rd W,"North Bloomfield, OH, 44450-0730",John R. Sheets,92.943,89.313,95.965,77.5,C,0.6,8.5,18.0,28.2,22.8,20.6,1.3,111.667,93.10000000000001,4.2,0.0,0.0,8.3,25.0,54.2,8.3
Bristol Local,6085227.5600000005,Trumbull,PO Box 260,"Bristolville, OH, 44402-0260",Christopher J. Dray,89.885,87.316,96.025,74.9,C,0.2,11.9,18.900000000000002,28.3,22.900000000000002,16.8,1.0,118.052,98.4,0.0,0.0,0.0,5.2,20.8,62.300000000000004,11.700000000000001
Brookfield Local,9520756.68,Trumbull,614 Bedford Rd SE,"Brookfield, OH, 44403-9756",Velina J. Taylor,84.34400000000001,83.37400000000001,88.986,70.3,C,0.9,16.9,19.6,26.7,22.8,12.9,0.2,114.60000000000001,95.5,0.0,0.0,2.0,4.0,36.0,56.0,2.0
Champion Local,13788066.540000001,Trumbull,5976 Mahoning Ave NW,"Warren, OH, 44483-1144",Pamela F. Hood,99.095,96.05,101.305,82.60000000000001,B,0.4,5.9,11.5,26.900000000000002,29.5,25.1,0.8,117.482,97.9,0.0,0.0,0.0,3.9,22.0,69.5,4.6000000000000005
Mathews Local,8020291.899999999,Trumbull,4096 Cadwallader Sonk Rd,"Cortland, OH, 44410-9445",Lewis L. Lowery,93.971,90.313,94.184,78.3,C,0.0,10.5,15.200000000000001,26.1,22.7,25.0,0.5,115.973,96.60000000000001,0.0,0.0,0.7000000000000001,9.4,20.8,65.8,3.4
Howland Local,28514927.72,Trumbull,8200 South St SE,"Warren, OH, 44484-2447",Kevin R. Spicher,96.02600000000001,92.561,97.652,80.0,B,0.2,8.3,13.4,27.2,27.400000000000002,22.400000000000002,0.9,116.846,97.4,0.3,0.0,1.5,3.6,19.7,67.2,7.7
Joseph Badger Local,7931452.82,Trumbull,7119 State Route 7,"Kinsman, OH, 44428-9788",David D. Bair,89.67200000000001,86.063,90.964,74.7,C,0.0,12.3,17.6,32.9,22.400000000000002,13.700000000000001,1.1,116.804,97.3,0.0,0.0,0.0,7.2,29.900000000000002,50.5,12.4
Lakeview Local,14936471.879999999,Trumbull,300 Hillman Dr,"Cortland, OH, 44410-1562",Robert A. Wilson,97.985,95.973,101.421,81.7,B,0.0,6.7,12.700000000000001,27.7,29.7,21.900000000000002,1.4000000000000001,116.12400000000001,96.8,0.0,0.3,1.1,5.9,25.3,59.800000000000004,7.6000000000000005
Liberty Local,14000126.260000002,Trumbull,4115 Shady Rd,"Youngstown, OH, 44505-1353",Joseph S. Nohra,81.49300000000001,79.94500000000001,89.17,67.9,D,0.4,19.3,22.400000000000002,26.1,19.900000000000002,11.5,0.4,117.015,97.5,0.0,0.0,0.0,4.5,26.900000000000002,62.7,6.0
Lordstown Local,7530889.15,Trumbull,1824 Salt Springs Rd,"Warren, OH, 44481-9735",Terry P. Armstrong,98.397,97.05900000000001,100.302,82.0,B,0.0,6.5,13.200000000000001,25.0,29.5,24.6,1.2,116.21600000000001,96.8,0.0,0.0,0.0,9.0,27.900000000000002,55.0,8.1
Maplewood Local,8483815.95,Trumbull,2414 Greenville Rd,"Cortland, OH, 44410-9648",Perry D. Nicholas,103.05,100.736,104.754,85.9,B,0.3,4.3,8.1,24.5,31.1,30.900000000000002,0.9,114.73700000000001,95.60000000000001,0.0,0.0,0.6,11.1,30.400000000000002,54.4,3.5
McDonald Local,6929057.12,Trumbull,600 Iowa Ave,"Mc Donald, OH, 44437-1677",Kevin R. O'Connell,91.077,88.437,95.905,75.9,C,0.6,10.6,16.7,31.5,23.900000000000002,15.6,1.0,115.0,95.8,0.0,0.0,4.4,2.9,27.900000000000002,54.4,10.3
Southington Local,5000590.08,Trumbull,2482 State Route 534,"Southington, OH, 44470-9524",Rocco Nero,90.339,86.09400000000001,90.565,75.3,C,0.4,10.3,19.7,29.0,23.2,16.8,0.6,116.88900000000001,97.4,0.0,0.0,0.0,6.7,22.2,66.7,4.4
LaBrae Local,12540963.07,Trumbull,1001 N Leavitt Rd,"Leavittsburg, OH, 44430-9644",Anthony J. Calderone,90.58800000000001,88.64,92.031,75.5,C,0.1,10.8,19.0,30.400000000000002,21.8,16.8,1.0,116.99000000000001,97.5,0.0,0.0,0.0,4.9,28.2,59.2,7.8
Weathersfield Local,9442589.540000001,Trumbull,1334 Seaborn St,"Mineral Ridge, OH, 44440-9571",Damon J. Dohar,92.027,90.14,95.994,76.7,C,0.3,9.5,18.0,28.900000000000002,25.0,17.7,0.6,115.07700000000001,95.9,0.0,0.0,0.0,15.4,21.5,60.0,3.1
Garaway Local,11256713.39,Tuscarawas,146 Dover Rd NW,"Sugarcreek, OH, 44681-9309",James A. Millet,82.63300000000001,88.12,87.099,68.9,D,7.4,11.6,16.7,28.900000000000002,21.900000000000002,13.5,0.0,104.262,86.9,8.2,0.0,0.0,14.8,29.5,47.5,0.0
Indian Valley Local,17283280.27,Tuscarawas,PO Box 171,"Gnadenhutten, OH, 44629-0171",Gary I. Wentworth,88.406,80.345,89.92500000000001,73.7,C,0.0,15.5,17.1,25.7,22.7,18.2,0.7000000000000001,114.52,95.4,0.0,0.8,1.6,8.4,26.0,58.4,4.8
Strasburg-Franklin Local,5886058.76,Tuscarawas,140 N Bodmer Ave,"Strasburg, OH, 44680-1122",Cynthia L. Brown,86.59700000000001,80.108,89.238,72.2,C,0.1,13.9,19.900000000000002,34.7,19.3,11.4,0.6,117.37700000000001,97.8,0.0,0.0,0.0,6.6000000000000005,19.7,67.2,6.6000000000000005
Tuscarawas Valley Local,13180406.04,Tuscarawas,2637 Tuscarawas Valley Rd NE,"Zoarville, OH, 44656-9692",Mark A. Murphy,98.39,92.607,98.635,82.0,B,0.0,7.6000000000000005,11.9,25.5,28.0,24.8,2.3000000000000003,118.539,98.8,0.0,0.0,0.0,4.5,16.3,68.5,10.700000000000001
Fairbanks Local,11803640.99,Union,11158 State Route 38,"Milford Center, OH, 43045-9764",Robert J. Humble,94.381,93.97,97.268,78.7,C,0.0,10.5,13.3,27.2,26.900000000000002,22.0,0.0,115.43400000000001,96.2,0.0,0.0,0.6,6.4,29.5,63.6,0.0
