District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Northridge Local,12817264.879999999,Licking,95.6,46060.0,11.0,0.0,75.0,75.0,99.8,47.0,62.0,508.0,501.0,98.6,501.0,98.6,0.0,0.0,1.0,1.0,1.32,1.14011861,1.76,1.52015815,1.5,1.29558934,0.0,0.0,0.86,0.74280455,0.0,0.0,0.51,0.44050037,1.0,0.86372622,56.65,48.9300907,1.0,0.86372622,3.82,3.29943418,12.52,10.8138523,1.0,0.86372622,5.0,4.31863113,3.0,2.59117868,3.33,2.87620833,1.0,0.86372622,0.0,0.0,1.0,0.86372622,0.01298701,0.05194805,0.48051948,0.45454545,0.0,0.0,0.0,0.2,0.8,0.0
Northridge Local,12817264.879999999,Montgomery,94.4,64003.0,18.0,5.0,108.0,105.0,97.2,81.0,74.7,595.0,589.0,99.0,589.0,99.9,0.0,0.0,1.0,1.0,1.25,0.78410889,1.0,0.62728711,1.0,0.62728711,0.0,0.0,2.5,1.56821779,0.0,0.0,0.0,0.0,0.0,0.0,88.29,55.3831797,0.0,0.0,14.12,8.85729412,14.0,8.78201966,0.0,0.0,6.3,3.95190885,5.04,3.16152708,6.12,3.83899716,0.0,0.0,0.0,0.0,0.0,0.0,0.01075268,0.0860215,0.69892473,0.11827957,0.0860215,0.0,0.0,1.0,0.0,0.0
Southwest Licking Local,35444018.26,Licking,93.9,58417.0,14.0,4.0,222.0,222.0,100.0,158.0,71.3,935.0,935.0,100.0,933.0,99.8,0.0,0.0,1.0,1.0,6.0,1.54514514,2.93,0.75454588,4.0,1.03009676,1.0,0.25752419,5.0,1.28762095,0.0,0.0,2.06,0.53049983,0.0,0.0,169.63,43.6838285,0.0,0.0,26.17,6.73940807,0.0,0.0,1.0,0.25752419,9.06,2.33316917,6.0,1.54514514,8.09,2.0833707,1.0,0.25752419,0.0,0.0,4.0,1.03009676,0.0,0.02262443,0.57466063,0.40271493,0.0,0.0,0.0,0.77777777,0.22222222,0.0
Jefferson Local,13419553.07,Madison,95.8,60258.0,11.0,1.0,76.0,76.0,100.0,42.0,55.0,441.0,435.0,98.6,435.0,98.6,0.0,0.0,1.0,1.0,2.0,1.70034775,0.0,0.0,1.0,0.85017387,0.0,0.0,1.5,1.27526081,0.0,0.0,0.0,0.0,0.0,0.0,57.5,48.8849979,0.0,0.0,14.0,11.9024342,7.21,6.12975366,0.0,0.0,4.0,3.40069551,3.0,2.55052163,3.0,2.55052163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619047,0.76190476,0.01190476,0.0,0.0,1.0,0.0,0.0
Jonathan Alder Local,20620481.49,Madison,94.8,58484.0,14.0,0.0,124.0,124.0,100.0,84.0,67.3,494.0,494.0,100.0,494.0,100.0,0.0,0.0,1.0,1.0,4.0,1.89973676,1.25,0.59366774,1.0,0.47493419,0.0,0.0,6.0,2.84960515,0.0,0.0,1.0,0.47493419,2.0,0.94986838,92.5,43.9314127,0.06,0.02849605,15.58,7.39947471,3.0,1.42480257,1.0,0.47493419,5.0,2.37467096,4.5,2.13720386,6.5,3.08707224,0.0,0.0,0.0,0.0,2.0,0.94986838,0.0,0.02985074,0.51492537,0.4402985,0.01492537,0.0,0.16666666,0.66666666,0.16666666,0.0
Northridge Local,21121651.3,Licking,95.6,46060.0,11.0,0.0,75.0,75.0,99.8,47.0,62.0,508.0,501.0,98.6,501.0,98.6,0.0,0.0,1.0,1.0,1.32,1.14011861,1.76,1.52015815,1.5,1.29558934,0.0,0.0,0.86,0.74280455,0.0,0.0,0.51,0.44050037,1.0,0.86372622,56.65,48.9300907,1.0,0.86372622,3.82,3.29943418,12.52,10.8138523,1.0,0.86372622,5.0,4.31863113,3.0,2.59117868,3.33,2.87620833,1.0,0.86372622,0.0,0.0,1.0,0.86372622,0.01298701,0.05194805,0.48051948,0.45454545,0.0,0.0,0.0,0.2,0.8,0.0
Northridge Local,21121651.3,Montgomery,94.4,64003.0,18.0,5.0,108.0,105.0,97.2,81.0,74.7,595.0,589.0,99.0,589.0,99.9,0.0,0.0,1.0,1.0,1.25,0.78410889,1.0,0.62728711,1.0,0.62728711,0.0,0.0,2.5,1.56821779,0.0,0.0,0.0,0.0,0.0,0.0,88.29,55.3831797,0.0,0.0,14.12,8.85729412,14.0,8.78201966,0.0,0.0,6.3,3.95190885,5.04,3.16152708,6.12,3.83899716,0.0,0.0,0.0,0.0,0.0,0.0,0.01075268,0.0860215,0.69892473,0.11827957,0.0860215,0.0,0.0,1.0,0.0,0.0
Teays Valley Local,36621254.730000004,Pickaway,94.8,63695.0,14.0,2.0,221.0,220.0,99.5,143.0,64.7,806.0,805.0,99.9,805.0,99.9,0.0,0.0,1.0,1.0,7.0,1.80489988,3.0,0.77352852,0.0,0.0,0.0,0.0,5.0,1.2892142,0.0,0.0,0.0,0.0,0.0,0.0,168.5,43.4465186,2.0,0.51568568,36.25,9.34680298,0.0,0.0,3.0,0.77352852,2.0,0.51568568,8.0,2.06274272,8.5,2.19166414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272727,0.32272727,0.63636363,0.01818181,0.0,0.0,0.45454545,0.54545454,0.0
Westfall Local,15736435.65,Pickaway,95.6,50868.0,11.0,2.0,93.0,93.0,100.0,50.0,53.5,450.0,409.0,90.9,408.0,90.7,0.0,0.0,1.0,1.0,3.0,2.22045378,1.0,0.74015126,0.0,0.0,0.0,0.0,2.0,1.48030252,0.0,0.0,0.0,0.0,0.0,0.0,68.5,50.7003613,0.0,0.0,15.0,11.1022689,17.0,12.5825714,2.0,1.48030252,3.0,2.22045378,3.0,2.22045378,4.0,2.96060504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01010101,0.45454545,0.53535353,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Fairbanks Local,11803640.99,Union,94.5,64740.0,21.0,0.0,61.0,61.0,100.0,43.0,70.0,323.0,323.0,100.0,323.0,100.0,0.0,0.0,1.0,1.0,3.0,2.79253216,1.05,0.97738625,0.0,0.0,0.0,0.0,2.1,1.95477251,0.0,0.0,1.0,0.93084405,0.0,0.0,45.42,42.2789369,2.06,1.91753875,8.21,7.64222969,10.7,9.96003139,0.5,0.46542202,2.5,2.32711013,2.5,2.32711013,2.5,2.32711013,0.0,0.0,0.0,0.0,1.0,0.93084405,0.0,0.01639344,0.16393442,0.80327868,0.01639344,0.0,0.0,0.0,1.0,0.0
